Dog_ID,Dog_Name,Dog_Gender,Dog_Breed,Date_of_Birth,Dog_Age,Training_Start_Date,Last_Training_Date,Training_Hours,Complete_Task,Health_Score,Stress_Level,Task_Completion_Rate,Time_Index,Behavioral_Notes
GR001,Max1,Female,Golden Retriever,2020-01-12,4.7,2020-06-04,2021-04-15,285.71,5,78.27,9.0,0.33,2021-04-15,Max was distracted.
BC002,Daisy1,Male,Border Collie,2022-06-11,2.3,2022-08-27,2023-05-07,175.56,3,89.52,6.1,0.2,2023-05-07,Daisy needs more focus.
PO003,Tucker1,Female,Poodle,2019-08-29,5.1,2019-10-01,2024-02-01,303.48,5,76.48,4.1,0.33,2024-02-01,Tucker executed commands flawlessly.
BE004,Bella1,Male,Beagle,2021-09-27,3.0,2022-05-09,2022-09-15,206.86,4,83.44,3.4,0.27,2022-09-15,Bella showed improvement.
DO005,Bailey1,Male,Doberman,2018-07-14,6.2,2018-09-22,2022-02-03,345.68,6,70.19,8.8,0.4,2022-02-03,Bailey showed good scent tracking skills.
BE006,Cooper1,Male,Beagle,2020-03-22,4.6,2020-09-16,2021-03-28,286.71,5,80.66,4.4,0.33,2021-03-28,Cooper showed great agility and focus.
HU007,Duke1,Female,Husky,2018-10-17,6.0,2019-03-03,2023-01-03,315.68,5,74.37,6.8,0.33,2023-01-03,Duke showed good scent tracking skills.
GS008,Bailey2,Male,German Shepherd,2020-12-11,3.8,2021-09-03,2023-11-19,233.3,4,85.25,7.2,0.27,2023-11-19,Bailey needs to improve attention span.
HU009,Charlie1,Male,Husky,2022-06-02,2.4,2022-12-10,2024-02-23,180.71,3,85.11,9.5,0.2,2024-02-23,Charlie was highly energetic and responsive.
BE010,Sadie1,Female,Beagle,2017-08-19,7.1,2017-11-30,2020-12-18,351.84,6,66.95,5.9,0.4,2020-12-18,Sadie showed good scent tracking skills.
PO011,Stella1,Female,Poodle,2018-09-20,6.1,2019-02-09,2019-12-19,329.13,5,65.41,1.4,0.33,2019-12-19,Stella was distracted.
GS012,Duke2,Female,German Shepherd,2022-01-24,2.7,2022-09-08,2023-11-02,205.09,4,86.18,3.3,0.27,2023-11-02,Duke needs more focus.
LA013,Buddy1,Female,Labrador,2018-12-18,5.8,2019-03-15,2020-12-05,314.89,5,70.54,9.6,0.33,2020-12-05,Buddy performed exceptionally well.
RO014,Duke3,Male,Rottweiler,2019-06-07,5.3,2020-05-29,2023-05-03,303.11,5,70.03,7.9,0.33,2023-05-03,Duke needs more focus.
RO015,Max2,Female,Rottweiler,2017-04-19,7.5,2017-05-28,2018-09-28,398.41,6,66.29,8.5,0.4,2018-09-28,Max performed exceptionally well.
BE016,Charlie2,Male,Beagle,2021-11-23,2.9,2022-02-04,2024-03-24,208.19,4,81.19,7.8,0.27,2024-03-24,Charlie executed commands flawlessly.
GS017,Sadie2,Male,German Shepherd,2019-10-22,5.0,2020-08-17,2024-02-10,284.43,5,72.12,5.9,0.33,2024-02-10,Sadie needs to improve attention span.
BM018,Lucy1,Female,Belgian Malinois,2017-11-12,6.9,2018-09-02,2023-10-25,343.59,6,62.75,4.0,0.4,2023-10-25,Lucy showed good scent tracking skills.
RO019,Tucker2,Male,Rottweiler,2022-09-12,2.1,2022-11-17,2024-09-23,161.1,3,85.17,1.3,0.2,2024-09-23,Tucker was highly energetic and responsive.
GR020,Molly1,Male,Golden Retriever,2019-08-28,5.1,2020-06-01,2021-09-12,292.82,5,76.73,8.9,0.33,2021-09-12,Molly showed good scent tracking skills.
DO021,Tucker3,Female,Doberman,2018-03-19,6.6,2018-07-24,2019-09-13,331.38,6,66.31,4.8,0.4,2019-09-13,Tucker showed great agility and focus.
LA022,Buddy2,Male,Labrador,2018-04-06,6.5,2018-10-26,2020-02-15,333.7,6,64.4,5.0,0.4,2020-02-15,Buddy was slightly distracted but performed well overall.
GS023,Jack1,Female,German Shepherd,2019-12-23,4.8,2020-02-29,2022-09-23,292.32,5,79.56,1.9,0.33,2022-09-23,Jack needs more focus.
LA024,Cooper2,Male,Labrador,2020-11-29,3.9,2021-07-25,2024-05-14,245.5,4,84.15,9.1,0.27,2024-05-14,Cooper executed commands flawlessly.
PO025,Max3,Female,Poodle,2019-10-21,5.0,2020-07-09,2022-03-15,284.42,5,79.57,10.0,0.33,2022-03-15,Max needs more focus.
DO026,Rocky1,Male,Doberman,2019-06-14,5.3,2019-11-02,2020-03-30,301.92,5,73.92,7.7,0.33,2020-03-30,Rocky showed improvement.
LA027,Stella2,Female,Labrador,2017-02-20,7.6,2017-12-18,2019-10-23,367.28,6,62.08,8.7,0.4,2019-10-23,Stella was distracted.
BC028,Cooper3,Male,Border Collie,2018-04-02,6.5,2018-07-02,2021-05-05,346.91,6,62.9,1.7,0.4,2021-05-05,Cooper showed good scent tracking skills.
BC029,Molly2,Female,Border Collie,2019-11-08,4.9,2020-03-21,2024-01-21,292.4,5,72.89,4.6,0.33,2024-01-21,Molly performed exceptionally well.
DO030,Bella2,Male,Doberman,2022-09-03,2.1,2023-05-25,2024-05-07,198.69,3,94.46,1.7,0.2,2024-05-07,Bella needs to improve attention span.
RO031,Jack2,Male,Rottweiler,2018-11-12,5.9,2019-01-16,2021-11-11,316.03,5,67.08,8.5,0.33,2021-11-11,Jack performed exceptionally well.
BC032,Molly3,Male,Border Collie,2019-06-03,5.4,2019-08-25,2024-08-26,287.87,5,69.15,2.0,0.33,2024-08-26,Molly needs more focus.
